identity,NetworkFilename,Strain,CoatColor,CoatColor_numeric,Sex,Sex_numeric,Weight,Box,Box_numeric,TestAge,TestDate,TestTime,OFA_DistanceTraveled_first5m,OFA_DistanceTraveled_first20m,OFA_DistanceTraveled_first55m,OFA_PeripheryTime_first5m,OFA_PeripheryTime_first20m,OFA_PeripheryTime_first55m,OFA_CornerTime_first5m,OFA_CornerTime_first20m,OFA_CornerTime_first55m,OFA_Groom_first5m,OFA_Groom_first20m,OFA_Groom_first55m,OFA_Groom_first55m_linearslope,OFA_GroomBouts_first5m,OFA_GroomBouts_first20m,OFA_GroomBouts_first55m,OFA_GroomBouts_first55m_linearslope,OFA_GroomAvgBout_first5m,OFA_GroomAvgBout_first20m,OFA_GroomAvgBout_first55m,OFA_GroomAvgBout_first55m_linearslope,OFA_GroomPeakMidBin,OFA_GroomPeakVal,OFA_GroomPeakSlope
LP-NA,LL1-B2B/2016-01-26_BG/LL1-1_LP.avi,LP/J,Agouti,1,F,0,17.4,LL1-1,1,9,2016-01-26,2019-11-21 10:40:00,1380.3798,7257.2348,10308.19695,299.2666,1182.3665,3271.2332,0.766666,17.666673,28.833333,3.8,76.39996,495.46609,0.00754932683982675,1,5,18,-0.00151515151515152,3.8,15.279992,27.5258938888889,0.299943580035266,22.5,162.1663,7.20739111111111
LP-NA,LL1-B2B/2016-01-26_BG/LL1-2_LP.avi,LP/J,Agouti,1,F,0,16.1,LL1-2,2,9,2016-01-26,2019-11-21 10:40:00,2973.341,6094.4381,9331.17009,272.5334,1127.9001,3202.5667,27.46666,72.099963,97.433299,0,392.5332,852.8668,-0.139222896103896,0,7,19,-0.00093795093795094,NA,56.0761714285714,44.8877263157895,-0.249473447780566,17.5,195.5333,11.1733314285714
LP-NA,LL1-B2B/2016-01-26_BG/LL1-3_LP.avi,LP/J,Agouti,1,F,0,19.4,LL1-3,3,9,2016-01-26,2019-11-21 10:40:00,3014.712,8496.4034,12332.49157,283.6,1149.1667,3238.3001,16.4,50.833322,61.699988,7.3,111.3334,591.40036,0.0892257352092353,1,4,13,0.0018037518037518,7.3,27.83335,45.4923353846154,0.0326314665016169,37.5,216.3003,5.768008
LP-NA,LL1-B2B/2016-01-26_BG/LL1-4_LP.avi,LP/J,Agouti,1,F,0,16,LL1-4,4,9,2016-01-26,2019-11-21 10:40:00,2125.683,6276.2058,12588.1824,290,1152.6667,3192.9669,10.03333,47.366636,107.09993,16.9,415.3663,884.49967,-0.00711135209235224,1,6,15,-0.000144300144300147,16.9,69.2277166666667,58.9666446666667,0.0303750443881363,12.5,193.6333,15.490664
NZB_F-NA,LL1-B2B/2016-02-01_BG/LL1-1_NZB_F.avi,NZB/BlNJ,Black,6,F,0,23.5,LL1-1,1,8.85714285714286,2016-02-01,2019-11-21 10:55:00,3168.756,9920.9403,16840.74163,292.7813,1158.4063,3229.5312,7.21875,41.59365,70.46865,6.375,188.34375,421.00005,0.0511634487734487,1,6,12,0.000649350649350649,6.375,31.390625,35.0833375,0.133698823179539,17.5,171.09375,9.77678571428571
NZB_F-NA,LL1-B2B/2016-02-01_BG/LL1-2_NZB_F.avi,NZB/BlNJ,Black,6,F,0,22.5,LL1-2,2,8.85714285714286,2016-02-01,2019-11-21 10:55:00,1627.595,3088.48445,3495.89969,298.6562,1198.6562,3298.6562,1.34375,1.34375,1.34375,4.5,83.6563,83.6563,-0.106628852813853,1,3,3,-0.00432900432900433,4.5,27.8854333333333,27.8854333333333,5.13816052631579,12.5,59.4375,4.755
NZB_F-NA,LL1-B2B/2016-02-01_BG/LL1-3_NZB_F.avi,NZB/BlNJ,Black,6,F,0,20,LL1-3,3,8.85714285714286,2016-02-01,2019-11-21 10:55:00,2732.46,7616.799,11581.59068,280.5937,1108.406,3138.6248,19.40625,91.59375,161.37495,9.4375,174.7188,359.6563,0.0712549134199134,1,5,9,-0.000144300144300145,9.4375,34.94376,39.9618111111111,0.332813166828322,37.5,87.5625,2.335
NZB_F-NA,LL1-B2B/2016-02-01_BG/LL1-4_NZB_F.avi,NZB/BlNJ,Black,6,F,0,25.7,LL1-4,4,8.85714285714286,2016-02-01,2019-11-21 10:55:00,1901.71,5499.139,8082.27724,293.1563,1154.4377,3224.1252,6.84375,45.5625,75.87495,0,65.5938,153.7187,-0.101927763347763,0,3,6,-0.00425685425685426,NA,21.8646,25.6197833333333,0.364978769230769,22.5,77.5624,3.44721777777778
C57L_F-NA,LL1-B2B/2016-02-02_BG/LL1-1_C57L_F.avi,C57L/J,Gray,10,F,0,20.1,LL1-1,1,9,2016-02-02,2019-11-21 10:35:00,4225.491,11600.336,24676.544,280.1613,1051.871,2909.1292,19.935475,148.354765,391.322512,3.48387,3.48387,164.67745,0.100377062049062,1,1,18,0.00808080808080808,3.48387,3.48387,9.14874722222222,0.141193414202347,52.5,39.6774,0.75576
C57L_F-NA,LL1-B2B/2016-02-02_BG/LL1-2_C57L_F.avi,C57L/J,Gray,10,F,0,18.2,LL1-2,2,9,2016-02-02,2019-11-21 10:35:00,2744.4,8526.244,20929.5439,263.7743,1076.9357,3009.1617,36.22574,123.064445,290.967685,7.54839,37.67739,165.29034,0.0931644718614719,1,5,13,0.000793650793650792,7.54839,7.535478,12.7146415384615,0.360748597319965,42.5,53.4839,1.25844470588235
C57L_F-NA,LL1-B2B/2016-02-02_BG/LL1-3_C57L_F.avi,C57L/J,Gray,10,F,0,18.1,LL1-3,3,9,2016-02-02,2019-11-21 10:35:00,2374.406,7943.62,20007.564,264.7096,1022.2902,2747.1609,35.32262,177.80648,553.000162,3.16129,11.74194,107.06444,0.0717147965367965,1,2,7,-7.21500721500735e-05,3.16129,5.87097,15.29492,0.782522117296223,47.5,50.6129,1.06553473684211
C57L_F-NA,LL1-B2B/2016-02-02_BG/LL1-4_C57L_F.avi,C57L/J,Gray,10,F,0,19.9,LL1-4,4,9,2016-02-02,2019-11-21 10:35:00,3681.368,8546.163,18697.5473,251.4194,1023.1291,2863.2584,48.61285,176.967743,436.838629,0,27.70967,187.87091,0.129209147186147,0,4,13,0.00562770562770563,NA,6.9274175,14.4516084615385,0.258014510108865,42.5,79.58058,1.87248423529412
